Price,Open,High,Low,Close,Volume,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Mid
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2018-10-16,51.811937261784536,52.772779249697095,51.298385840102064,52.57398223876953,116736000,52.705450439453124,51.980879592895505,44.66429204940796,51.64228170748576,0.07315128592842512,0.32605200834951703,54.9123226814538,50.498578197452446,52.705450439453124
2018-10-17,52.60947904535247,52.68994251799394,51.90896438476094,52.34678649902344,91541600,52.73881950378418,52.05094863891602,44.72450504302979,46.17105094694545,0.05750214596768899,0.2723420358731514,54.90007914207806,50.577559865490294,52.73881950378418
2018-10-18,51.55871374421379,52.003635406378,50.408546758242004,51.123260498046875,130325200,52.691368865966794,52.09588722229004,44.77863555908203,40.91250906839719,-0.053017069021287,0.20727021489426373,54.95356021402871,50.429177517904876,52.691368865966794
2018-10-19,51.60603453844459,52.36334516342306,51.45693771139783,51.901859283447266,132314800,52.71089248657226,52.14870941162109,44.83572319030762,42.80531630782911,-0.0768915793060998,0.15043785605419102,54.936651516912974,50.48513345623155,52.71089248657226
2018-10-22,52.015462726587266,52.86034005758021,51.81430403669069,52.218990325927734,115168400,52.709235763549806,52.21080863952637,44.892091846466066,42.09270170295862,-0.06942222333732673,0.10646584017588746,54.93648143235294,50.48199009474667,52.709235763549806
2018-10-23,51.07829499747305,52.83431062152317,50.810868215917154,52.711246490478516,155071200,52.71562557220459,52.27641075134277,44.95168220520019,41.329341808390645,-0.02351073446408236,0.0804705252478935,54.94208492804166,50.489166216367515,52.71562557220459
2018-10-24,52.68047371636561,53.06622674058783,50.77299266633253,50.90315628051758,163702000,52.65255508422852,52.30168571472168,45.002255516052244,38.76694424232625,-0.1315073652244294,0.038074947153428906,55.01222261640426,50.292887552052775,52.65255508422852
2018-10-25,51.52322684458672,52.39176821772767,51.29603175862123,52.017845153808594,119423200,52.59161567687988,52.346934967041015,45.05844898223877,46.15785046747019,-0.12570041077359662,0.005319875568023794,54.95072272033522,50.232508633424544,52.59161567687988
2018-10-26,51.09486330644962,52.11013614750111,50.3304529551545,51.18952941894531,189033600,52.479912757873535,52.36103988647461,45.10934280395508,43.917924688265956,-0.1857947812813947,-0.03290305580185992,54.88428163762362,50.07554387812345,52.479912757873535
2018-10-29,51.87347250273323,51.99180242637242,48.77322705892924,50.22868728637695,183742000,52.30218067169189,52.33576446533203,45.15331491470337,38.27164513995656,-0.3074083136502992,-0.0878041073715478,54.82354410527879,49.780817238104994,52.30218067169189
2018-10-30,49.970720984260076,50.924459797370716,49.525802965453806,50.47954177856445,146640000,52.113089370727536,52.32554061889648,45.19959415435791,47.10881017766071,-0.3791751596141424,-0.14607831782006672,54.582503849271895,49.64367489218318,52.113089370727536
2018-10-31,51.326786543689,52.17166028299006,51.26525267501024,51.795372009277344,153435600,51.95677528381348,52.3436213684082,45.24904829025269,53.89781943678281,-0.32611515543270286,-0.18208568534259398,54.04381629948076,49.869734268146196,51.95677528381348
2018-11-01,51.840334455880125,52.62367788475514,51.31021515740563,52.590545654296875,233292800,51.888498878479005,52.377558364868165,45.302291049957276,50.10518745940985,-0.21739486444352707,-0.1891475211627806,53.78036529672357,49.99663246023444,51.888498878479005
2018-11-02,49.592068062043005,50.56237119763977,48.61702710758743,49.10218048095703,365314800,51.68958625793457,52.339645080566406,45.339027862548825,42.06551576924162,-0.4080118402252566,-0.23292038497527584,53.86855472437141,49.51061779149774,51.68958625793457
2018-11-05,48.349609382233005,48.37090790263362,46.898883307010784,47.70825958251953,264654800,51.427130126953124,52.27068222045899,45.370503177642824,33.775288147890734,-0.6639018787532649,-0.3191166837308737,54.15779548333598,48.696464770570266,51.427130126953124
2018-11-06,47.78633724994055,48.44898528552646,47.731906517462875,48.224159240722656,127531600,51.153787231445314,52.203612365722655,45.40451114654541,36.512810759380564,-0.8156653073646822,-0.4184264084576355,54.02132035027608,48.28625411261455,51.153787231445314
2018-11-07,48.7448280831522,49.71276597298876,48.30937483931791,49.68673324584961,133697600,51.077937316894534,52.15746360778809,45.4491309928894,45.37277032179519,-0.8086003835146869,-0.4964612034690458,54.01921284268154,48.13666179110753,51.077937316894534
2018-11-08,49.86722555541948,49.90047339465784,49.100148077728555,49.51337432861328,101450400,51.016020965576175,52.09232276916504,45.49652231216431,41.9942457206671,-0.8076795681643176,-0.5587048764081003,54.037261140128464,47.994780791023885,51.016020965576175
2018-11-09,48.81515103449121,48.92439234814159,48.0314480668718,48.55866622924805,137463200,50.815728187561035,51.998384704589846,45.53867218017578,38.23416023766817,-0.8739128530058267,-0.6217464717276456,53.93429335943652,47.69716301568555,50.815728187561035
2018-11-12,47.259643068339216,47.46150731486212,46.02234127094718,46.112586975097656,204542000,50.54933815002441,51.84321899414063,45.57274465560913,31.1560566569226,-1.1109747275195332,-0.7195921228860233,54.291162814880934,46.80751348516789,50.54933815002441
2018-11-13,45.509370087049234,46.82741236651,45.46662079150977,45.651859283447266,187531600,50.203232002258304,51.67538330078125,45.60567169189453,33.75352110348918,-1.320799489204525,-0.8398335961497236,54.408398559046326,45.99806544547028,50.203232002258304
2018-11-14,46.04845004074686,46.18619210460232,44.155689779845716,44.3623046875,243204000,49.80400791168213,51.48880905151367,45.63161277770996,26.568790955058788,-1.5730107107289655,-0.9864690190655722,54.623492071343335,44.98452375202092,49.80400791168213
2018-11-15,44.73990396148286,45.59010269083282,44.38604917682222,45.45711135864258,185915200,49.520700454711914,51.34197494506836,45.662618484497074,32.73648374639875,-1.6653510449118087,-1.1222454242348197,54.66861982772627,44.37278108169756,49.520700454711914
2018-11-16,45.241001735605465,46.30256253867102,44.994018333700204,45.9605827331543,147713200,49.223636627197266,51.213730087280275,45.70465814590454,36.78222757773367,-1.6785561436260892,-1.2335075681130736,54.47760121263377,43.96967204176076,49.223636627197266
2018-11-19,45.122258727684965,45.288497903512194,43.9324573152548,44.139068603515625,167701200,48.81964054107666,51.063112564086914,45.74228136062622,32.10521907290028,-1.8150791397053325,-1.3498218824315256,54.339673241471445,43.29960784068187,48.81964054107666
2018-11-20,42.36029426713705,43.0965008846714,41.68108548328812,42.030189514160156,271300800,48.28558769226074,50.84419006347656,45.7617092704773,23.62049549549549,-2.0695866045585305,-1.4937748268569266,54.26773506746572,42.30344031705576,48.28558769226074
2018-11-21,42.68326656748611,42.81151076277648,41.92806444046448,41.98268508911133,124496800,47.83956413269043,50.63747581481934,45.784982471466066,20.137821128921928,-2.2491915339731676,-1.644858168280175,54.3102281331973,41.368900132183555,47.83956413269043
2018-11-23,41.545728433984664,41.939955371122814,40.871270248544576,40.91638946533203,94496000,47.2844913482666,50.38416030883789,45.80805995941162,23.317576466562414,-2.4493364517822798,-1.805753824980596,54.13922907442621,40.429753622106986,47.2844913482666
2018-11-26,41.37949974109404,41.54811251832869,40.434304272853666,41.46974182128906,179994000,46.79850196838379,50.15407623291016,45.83168411254883,28.485979360937336,-2.5340904145079364,-1.9514211428860644,53.862548301447376,39.7344556353202,46.79850196838379
2018-11-27,40.73115163840486,41.50535696963446,40.581538183046156,41.37948989868164,165549600,46.356042098999026,49.95039710998535,45.847456817626956,25.681690720386385,-2.5788141519215415,-2.07689974469316,53.62113776041015,39.0909464375879,46.356042098999026
2018-11-28,41.97082246218877,43.05375604780833,41.54334772477524,42.970638275146484,184250000,45.980596923828124,49.776837005615235,45.869270668029785,26.354530016831063,-2.457536708772004,-2.153027137508929,53.12351684802995,38.8376769996263,45.980596923828124
2018-11-29,43.379125333484275,43.41237317618883,42.201195033571544,42.64054489135742,167080000,45.522855567932126,49.596059799194336,45.88587484359741,26.066847061542816,-2.360844887863337,-2.1945906875798107,52.25854205682658,38.787169079037675,45.522855567932126
2018-11-30,42.81627363610778,42.82577508860625,42.04207194963164,42.41017532348633,158126000,45.013837051391604,49.40281784057617,45.894725761413575,27.451705108217936,-2.276562031664156,-2.21098495639668,50.99731487141444,39.03035923136877,45.013837051391604
2018-12-03,43.80659488375015,43.92058695583574,43.034766692325256,43.89208984375,163210000,44.75333251953125,49.25043190002442,45.91164405822754,41.23710533177332,-2.066369326426063,-2.1820618304025565,50.433325940306446,39.07333909875605,44.75333251953125
2018-12-04,42.97302165192976,43.31500152005368,41.86159070426997,41.961334228515625,165377200,44.465986251831055,49.04461608886719,45.91958992004395,36.94997130865707,-2.032160452392681,-2.1520815548005814,50.097819606562545,38.834152897099564,44.465986251831055
2018-12-06,40.79052552365589,41.507733053331634,40.472295688010675,41.49348449707031,172393600,44.129452514648435,48.82281677246094,45.92611267089844,39.229705484050584,-2.0195214499029035,-2.125569533821046,49.61829576898754,38.64060926030933,44.129452514648435
2018-12-07,41.20137442888405,41.43886000802024,39.96882369336847,40.013946533203125,169126400,43.645813179016116,48.57980438232422,45.92355800628662,30.13869436712291,-2.104630427084814,-2.1213817124737995,48.76504485459849,38.52658150343374,43.645813179016116
2018-12-10,39.18511479089432,40.39391534110933,38.78851436695065,40.277549743652344,248104000,43.184021949768066,48.32062271118164,45.918797435760496,28.89399288179996,-2.1262986811804367,-2.1223651062151268,47.70608327391512,38.66196062562101,43.184021949768066
2018-12-11,40.76677646859411,40.797647130558154,39.66009277068402,40.04719543457031,189126800,42.75844841003418,48.0530948638916,45.90880910873413,32.76657616117474,-2.137419751620108,-2.125376035296123,46.717809234126996,38.79908758594136,42.75844841003418
